bill_no,date,customer_id,product_id,quantity,selling_price,discount,gst,total_amount,payment_mode,purchase_price,profit,year,month,quarter,day
BILL000071,2025-12-23,86,48,3,423,20,152.28,1401.28,Card,313,330,2025,December,4,Tuesday
BILL000072,2025-08-11,940,185,3,436,20,0.0,1288.0,UPI,325,333,2025,August,3,Monday
BILL000073,2025-05-01,678,42,2,171,20,0.0,322.0,Cash,107,128,2025,May,2,Thursday
BILL000074,2025-04-04,398,90,5,423,50,380.7,2445.7,Cash,327,480,2025,April,2,Friday
BILL000075,2025-03-28,375,29,1,81,50,9.72,40.72,Cash,43,38,2025,March,1,Friday
BILL000076,2025-12-15,702,201,3,501,0,75.15,1578.15,Card,391,330,2025,December,4,Monday
BILL000077,2025-02-24,685,33,3,395,50,0.0,1135.0,Card,322,219,2025,February,1,Monday
BILL000078,2025-12-05,868,182,4,138,30,27.6,549.6,Card,128,40,2025,December,4,Friday
BILL000079,2025-08-26,639,166,5,408,50,0.0,1990.0,Cash,388,100,2025,August,3,Tuesday
BILL000080,2025-06-25,562,155,5,281,50,252.9,1607.9,Cash,146,675,2025,June,2,Wednesday
BILL000081,2025-09-24,671,32,5,325,50,195.0,1770.0,Card,197,640,2025,September,3,Wednesday
BILL000082,2025-03-25,916,9,5,383,30,95.75,1980.75,Card,356,135,2025,March,1,Tuesday
BILL000083,2025-04-14,409,131,4,153,10,0.0,602.0,Card,32,484,2025,April,2,Monday
BILL000084,2025-08-15,448,91,4,304,30,60.8,1246.8,Card,249,220,2025,August,3,Friday
BILL000085,2025-06-27,687,206,1,440,10,0.0,430.0,Cash,298,142,2025,June,2,Friday
BILL000086,2025-09-01,268,108,1,423,10,21.15,434.15,Card,277,146,2025,September,3,Monday
BILL000087,2025-02-26,674,118,5,405,30,0.0,1995.0,Cash,368,185,2025,February,1,Wednesday
BILL000088,2025-08-01,675,188,5,477,30,429.3,2784.3,Cash,348,645,2025,August,3,Friday
BILL000089,2025-11-09,367,219,3,450,10,67.5,1407.5,UPI,318,396,2025,November,4,Sunday
BILL000090,2025-04-05,463,162,5,335,50,301.5,1926.5,Cash,299,180,2025,April,2,Saturday
BILL000091,2025-12-19,966,229,5,370,30,92.5,1912.5,Card,230,700,2025,December,4,Friday
BILL000092,2025-01-15,408,174,4,383,30,275.76,1777.76,UPI,364,76,2025,January,1,Wednesday
BILL000093,2025-08-03,163,94,3,188,30,101.52,635.52,Card,129,177,2025,August,3,Sunday
BILL000094,2025-02-02,766,184,5,332,20,83.0,1723.0,UPI,249,415,2025,February,1,Sunday
BILL000095,2025-03-01,585,240,5,127,20,114.3,729.3,UPI,105,110,2025,March,1,Saturday
BILL000096,2025-07-28,279,109,2,379,20,136.44,874.44,UPI,239,280,2025,July,3,Monday
BILL000097,2025-07-28,538,109,1,379,30,68.22,417.22,Cash,239,140,2025,July,3,Monday
BILL000098,2025-01-29,379,170,4,184,0,36.8,772.8,UPI,130,216,2025,January,1,Wednesday
BILL000099,2025-09-02,109,136,3,64,20,9.6,181.6,Card,51,39,2025,September,3,Tuesday
BILL000100,2025-01-24,88,97,1,473,20,85.14,538.14,Card,399,74,2025,January,1,Friday
BILL000101,2025-04-13,293,189,2,211,30,75.96,467.96,Card,144,134,2025,April,2,Sunday
BILL000102,2025-05-20,698,10,3,369,30,132.84,1209.84,UPI,242,381,2025,May,2,Tuesday
BILL000103,2025-02-23,771,54,4,218,50,104.64,926.64,UPI,86,528,2025,February,1,Sunday
BILL000104,2025-05-19,734,202,3,202,0,109.08,715.08,Card,98,312,2025,May,2,Monday
BILL000105,2025-10-22,51,104,3,409,0,147.24,1374.24,Card,358,153,2025,October,4,Wednesday
BILL000106,2025-05-01,157,31,5,178,30,44.5,904.5,Cash,110,340,2025,May,2,Thursday
BILL000107,2025-09-24,988,176,3,341,30,51.15,1044.15,UPI,224,351,2025,September,3,Wednesday
BILL000108,2025-10-17,67,104,3,409,0,147.24,1374.24,UPI,358,153,2025,October,4,Friday
BILL000109,2025-01-17,666,171,1,162,30,29.16,161.16,UPI,96,66,2025,January,1,Friday
BILL000110,2025-11-28,730,195,5,337,30,0.0,1655.0,UPI,196,705,2025,November,4,Friday
BILL000111,2025-03-11,686,171,2,162,20,58.32,362.32,UPI,96,132,2025,March,1,Tuesday
BILL000112,2025-02-24,983,34,5,311,0,186.6,1741.6,Cash,300,55,2025,February,1,Monday
BILL000113,2025-10-10,817,101,5,501,10,450.9,2945.9,UPI,384,585,2025,October,4,Friday
BILL000114,2025-06-01,44,29,1,81,0,9.72,90.72,Cash,43,38,2025,June,2,Sunday
BILL000115,2025-09-14,520,153,1,315,20,37.8,332.8,Cash,259,56,2025,September,3,Sunday
BILL000116,2025-04-23,513,106,4,336,50,241.92,1535.92,Card,269,268,2025,April,2,Wednesday
BILL000117,2025-09-03,744,210,1,319,10,57.42,366.42,UPI,269,50,2025,September,3,Wednesday
BILL000118,2025-01-10,628,213,5,109,30,0.0,515.0,Card,23,430,2025,January,1,Friday
BILL000119,2025-11-07,839,50,5,117,30,70.2,625.2,Cash,22,475,2025,November,4,Friday
BILL000120,2025-03-05,373,138,5,451,20,112.75,2347.75,UPI,382,345,2025,March,1,Wednesday
BILL000121,2025-08-20,107,1,5,125,10,0.0,615.0,UPI,77,240,2025,August,3,Wednesday
BILL000122,2025-05-26,914,122,3,257,20,38.55,789.55,Cash,117,420,2025,May,2,Monday
BILL000123,2025-11-22,216,221,1,167,0,30.06,197.06,Cash,38,129,2025,November,4,Saturday
BILL000124,2025-10-25,694,140,3,409,10,147.24,1364.24,Card,380,87,2025,October,4,Saturday
BILL000125,2025-04-11,477,200,5,116,0,104.4,684.4,Card,77,195,2025,April,2,Friday
BILL000126,2025-05-23,185,220,4,164,30,32.8,658.8,Card,128,144,2025,May,2,Friday
BILL000127,2025-09-23,835,13,4,275,10,0.0,1090.0,Card,191,336,2025,September,3,Tuesday
BILL000128,2025-02-27,991,101,4,501,20,360.72,2344.72,UPI,384,468,2025,February,1,Thursday
BILL000129,2025-07-25,474,155,2,281,50,101.16,613.16,Card,146,270,2025,July,3,Friday
BILL000130,2025-11-09,835,124,4,414,30,0.0,1626.0,Cash,377,148,2025,November,4,Sunday
BILL000131,2025-02-16,945,96,4,95,20,0.0,360.0,Card,20,300,2025,February,1,Sunday
BILL000132,2025-01-20,964,147,5,293,0,73.25,1538.25,Card,144,745,2025,January,1,Monday
BILL000133,2025-08-31,939,146,5,113,0,0.0,565.0,Cash,38,375,2025,August,3,Sunday
BILL000134,2025-11-06,542,110,3,161,10,24.15,497.15,UPI,32,387,2025,November,4,Thursday
BILL000135,2025-08-22,214,231,2,397,10,142.92,926.92,Cash,386,22,2025,August,3,Friday
BILL000136,2025-07-02,420,97,5,473,10,425.7,2780.7,Card,399,370,2025,July,3,Wednesday
BILL000137,2025-12-03,116,233,3,275,10,99.0,914.0,UPI,215,180,2025,December,4,Wednesday
BILL000138,2025-08-31,844,95,2,272,50,27.2,521.2,Cash,174,196,2025,August,3,Sunday
BILL000139,2025-03-30,547,143,2,228,10,82.08,528.08,UPI,145,166,2025,March,1,Sunday
BILL000140,2025-07-01,112,51,2,181,30,65.16,397.16,Cash,125,112,2025,July,3,Tuesday
BILL000141,2025-04-15,753,233,2,275,30,66.0,586.0,Card,215,120,2025,April,2,Tuesday
BILL000142,2025-06-04,156,140,4,409,30,196.32,1802.32,Cash,380,116,2025,June,2,Wednesday
BILL000143,2025-12-04,431,57,4,318,30,63.6,1305.6,UPI,174,576,2025,December,4,Thursday
BILL000144,2025-12-19,321,228,3,229,10,123.66,800.66,UPI,134,285,2025,December,4,Friday
BILL000145,2025-10-24,406,65,3,124,30,44.64,386.64,Card,25,297,2025,October,4,Friday
BILL000146,2025-11-04,363,219,4,450,30,90.0,1860.0,UPI,318,528,2025,November,4,Tuesday
BILL000147,2025-06-09,857,69,3,277,30,41.55,842.55,Card,223,162,2025,June,2,Monday
BILL000148,2025-10-05,455,152,1,259,50,0.0,209.0,UPI,134,125,2025,October,4,Sunday
BILL000149,2025-01-06,186,37,4,235,20,112.8,1032.8,Cash,143,368,2025,January,1,Monday
BILL000150,2025-12-28,334,227,4,193,30,38.6,780.6,Cash,180,52,2025,December,4,Sunday
BILL000151,2025-01-09,111,199,5,460,10,414.0,2704.0,Card,372,440,2025,January,1,Thursday
BILL000152,2025-03-05,836,3,5,374,30,93.5,1933.5,Card,334,200,2025,March,1,Wednesday
BILL000153,2025-12-25,968,156,3,314,0,113.04,1055.04,UPI,171,429,2025,December,4,Thursday
BILL000154,2025-08-07,515,238,4,283,0,135.84,1267.84,Card,185,392,2025,August,3,Thursday
BILL000155,2025-07-08,968,71,5,404,10,0.0,2010.0,Cash,297,535,2025,July,3,Tuesday
BILL000156,2025-04-01,856,61,4,384,20,184.32,1700.32,Card,341,172,2025,April,2,Tuesday
BILL000157,2025-09-30,81,210,4,319,10,229.68,1495.68,Card,269,200,2025,September,3,Tuesday
BILL000158,2025-04-26,825,95,1,272,30,13.6,255.6,Card,174,98,2025,April,2,Saturday
BILL000159,2025-09-10,2,194,2,476,50,0.0,902.0,Card,363,226,2025,September,3,Wednesday
BILL000160,2025-03-23,406,189,2,211,0,75.96,497.96,UPI,144,134,2025,March,1,Sunday
BILL000161,2025-07-06,558,14,2,326,10,78.24,720.24,UPI,189,274,2025,July,3,Sunday
BILL000162,2025-01-23,850,79,2,344,20,123.84,791.84,UPI,272,144,2025,January,1,Thursday
BILL000163,2025-12-12,978,98,2,413,0,41.3,867.3,UPI,353,120,2025,December,4,Friday
BILL000164,2025-07-17,398,61,2,384,0,92.16,860.16,Card,341,86,2025,July,3,Thursday
BILL000165,2025-06-13,225,223,1,324,20,58.32,362.32,Cash,187,137,2025,June,2,Friday
BILL000166,2025-06-07,341,118,3,405,20,0.0,1195.0,Card,368,111,2025,June,2,Saturday
BILL000167,2025-02-19,97,173,2,167,20,60.12,374.12,Card,66,202,2025,February,1,Wednesday
BILL000168,2025-04-08,869,63,5,321,20,288.9,1873.9,Card,305,80,2025,April,2,Tuesday
BILL000169,2025-06-27,181,160,1,283,20,50.94,313.94,Cash,257,26,2025,June,2,Friday
BILL000170,2025-03-08,905,198,3,333,20,179.82,1158.82,Card,235,294,2025,March,1,Saturday
BILL000171,2025-09-10,647,123,2,220,20,0.0,420.0,Card,198,44,2025,September,3,Wednesday
BILL000172,2025-03-29,237,111,4,132,0,95.04,623.04,Card,36,384,2025,March,1,Saturday
BILL000173,2025-09-30,191,51,2,181,0,65.16,427.16,UPI,125,112,2025,September,3,Tuesday
BILL000174,2025-11-11,817,201,4,501,20,100.2,2084.2,Cash,391,440,2025,November,4,Tuesday
BILL000175,2025-05-10,945,137,3,92,20,49.68,305.68,Card,69,69,2025,May,2,Saturday
BILL000176,2025-07-02,596,230,2,333,50,119.88,735.88,UPI,276,114,2025,July,3,Wednesday
BILL000177,2025-01-21,987,26,4,445,0,0.0,1780.0,Card,392,212,2025,January,1,Tuesday
BILL000178,2025-06-10,70,175,1,466,10,0.0,456.0,Card,317,149,2025,June,2,Tuesday
BILL000179,2025-07-31,972,101,3,501,0,270.54,1773.54,UPI,384,351,2025,July,3,Thursday
BILL000180,2025-02-12,698,188,2,477,10,171.72,1115.72,UPI,348,258,2025,February,1,Wednesday
BILL000181,2025-03-06,347,59,1,404,30,20.2,394.2,Card,256,148,2025,March,1,Thursday
BILL000182,2025-06-16,780,178,1,179,30,32.22,181.22,Cash,70,109,2025,June,2,Monday
BILL000183,2025-05-08,477,75,4,390,0,0.0,1560.0,Cash,298,368,2025,May,2,Thursday
BILL000184,2025-10-31,678,218,3,400,30,216.0,1386.0,UPI,273,381,2025,October,4,Friday
BILL000185,2025-02-02,524,47,2,172,10,17.2,351.2,Card,22,300,2025,February,1,Sunday
BILL000186,2025-08-06,119,216,3,340,50,122.4,1092.4,Cash,222,354,2025,August,3,Wednesday
BILL000187,2025-09-20,772,218,3,400,10,216.0,1406.0,Card,273,381,2025,September,3,Saturday
BILL000188,2025-10-29,469,6,5,330,30,297.0,1917.0,Cash,187,715,2025,October,4,Wednesday
BILL000189,2025-11-23,231,56,3,382,30,57.3,1173.3,Card,233,447,2025,November,4,Sunday
BILL000190,2025-05-22,888,98,1,413,0,20.65,433.65,Card,353,60,2025,May,2,Thursday
BILL000191,2025-05-22,305,185,3,436,10,0.0,1298.0,UPI,325,333,2025,May,2,Thursday
BILL000192,2025-10-09,688,191,3,358,0,0.0,1074.0,Card,214,432,2025,October,4,Thursday
BILL000193,2025-03-02,606,198,4,333,30,239.76,1541.76,Cash,235,392,2025,March,1,Sunday
BILL000194,2025-10-17,629,76,1,178,20,32.04,190.04,UPI,29,149,2025,October,4,Friday
BILL000195,2025-11-30,63,239,2,254,20,0.0,488.0,UPI,187,134,2025,November,4,Sunday
BILL000196,2025-06-07,909,107,1,198,0,9.9,207.9,Card,117,81,2025,June,2,Saturday
BILL000197,2025-05-02,451,194,5,476,20,0.0,2360.0,Cash,363,565,2025,May,2,Friday
BILL000198,2025-07-05,966,207,4,249,50,49.8,995.8,UPI,133,464,2025,July,3,Saturday
BILL000199,2025-07-27,360,15,2,372,0,89.28,833.28,Card,296,152,2025,July,3,Sunday
BILL000200,2025-11-01,432,153,1,315,30,37.8,322.8,Card,259,56,2025,November,4,Saturday
BILL000201,2025-01-22,78,148,3,377,50,0.0,1081.0,UPI,274,309,2025,January,1,Wednesday
BILL000202,2025-04-01,455,92,4,337,10,0.0,1338.0,Cash,216,484,2025,April,2,Tuesday
BILL000203,2025-09-23,402,134,1,242,20,29.04,251.04,Cash,136,106,2025,September,3,Tuesday
BILL000204,2025-07-07,226,72,2,115,20,41.4,251.4,Cash,78,74,2025,July,3,Monday
BILL000205,2025-04-16,824,218,1,400,50,72.0,422.0,Cash,273,127,2025,April,2,Wednesday
BILL000206,2025-08-20,317,61,2,384,50,92.16,810.16,Card,341,86,2025,August,3,Wednesday
BILL000207,2025-11-13,793,35,2,158,30,56.88,342.88,UPI,90,136,2025,November,4,Thursday
BILL000208,2025-08-10,398,138,4,451,50,90.2,1844.2,Cash,382,276,2025,August,3,Sunday
BILL000209,2025-10-24,410,29,2,81,50,19.44,131.44,Card,43,76,2025,October,4,Friday
BILL000210,2025-10-03,876,90,1,423,30,76.14,469.14,Cash,327,96,2025,October,4,Friday
BILL000211,2025-02-13,500,168,4,255,20,183.6,1183.6,Cash,164,364,2025,February,1,Thursday
BILL000212,2025-10-05,383,163,4,394,20,0.0,1556.0,Cash,246,592,2025,October,4,Sunday
BILL000213,2025-12-27,237,103,5,378,20,94.5,1964.5,Card,328,250,2025,December,4,Saturday
BILL000214,2025-10-19,597,131,5,153,10,0.0,755.0,Card,32,605,2025,October,4,Sunday
BILL000215,2025-12-22,617,77,4,200,20,40.0,820.0,Cash,189,44,2025,December,4,Monday
BILL000216,2025-02-04,386,203,3,453,50,244.62,1553.62,Cash,315,414,2025,February,1,Tuesday
BILL000217,2025-11-10,284,30,2,359,30,129.24,817.24,Card,275,168,2025,November,4,Monday
BILL000218,2025-03-21,732,173,3,167,50,90.18,541.18,UPI,66,303,2025,March,1,Friday
BILL000219,2025-10-17,310,101,2,501,30,180.36,1152.36,Cash,384,234,2025,October,4,Friday
BILL000220,2025-12-13,70,202,1,202,20,36.36,218.36,UPI,98,104,2025,December,4,Saturday
BILL000221,2025-01-21,274,73,5,142,20,35.5,725.5,UPI,86,280,2025,January,1,Tuesday
BILL000222,2025-08-09,913,75,3,390,30,0.0,1140.0,UPI,298,276,2025,August,3,Saturday
BILL000223,2025-08-16,945,85,5,174,20,156.6,1006.6,UPI,161,65,2025,August,3,Saturday
BILL000224,2025-03-15,442,9,4,383,10,76.6,1598.6,Card,356,108,2025,March,1,Saturday
BILL000225,2025-11-25,804,227,3,193,50,28.95,557.95,Cash,180,39,2025,November,4,Tuesday
BILL000226,2025-09-21,603,157,5,517,0,0.0,2585.0,UPI,388,645,2025,September,3,Sunday
BILL000227,2025-11-30,903,31,1,178,20,8.9,166.9,Cash,110,68,2025,November,4,Sunday
BILL000228,2025-06-09,262,109,5,379,30,341.1,2206.1,Card,239,700,2025,June,2,Monday
BILL000229,2025-02-03,205,117,4,179,10,35.8,741.8,Card,42,548,2025,February,1,Monday
BILL000230,2025-07-26,654,180,4,189,10,0.0,746.0,UPI,52,548,2025,July,3,Saturday
BILL000231,2025-10-15,742,227,2,193,10,19.3,395.3,UPI,180,26,2025,October,4,Wednesday
BILL000232,2025-01-10,168,38,4,479,30,95.8,1981.8,Cash,376,412,2025,January,1,Friday
BILL000233,2025-01-31,362,44,5,174,0,104.4,974.4,Cash,108,330,2025,January,1,Friday
BILL000234,2025-02-07,347,29,5,81,50,48.6,403.6,Cash,43,190,2025,February,1,Friday
BILL000235,2025-07-16,32,137,2,92,20,33.12,197.12,Card,69,46,2025,July,3,Wednesday
BILL000236,2025-07-17,524,213,3,109,30,0.0,297.0,Card,23,258,2025,July,3,Thursday
BILL000237,2025-07-15,965,73,5,142,0,35.5,745.5,Cash,86,280,2025,July,3,Tuesday
BILL000238,2025-08-26,167,24,3,237,10,35.55,736.55,Card,123,342,2025,August,3,Tuesday
BILL000239,2025-02-24,689,237,5,345,30,207.0,1902.0,Cash,296,245,2025,February,1,Monday
BILL000240,2025-02-10,589,78,4,452,30,216.96,1994.96,UPI,335,468,2025,February,1,Monday
BILL000241,2025-01-05,348,24,3,237,0,35.55,746.55,UPI,123,342,2025,January,1,Sunday
BILL000242,2025-09-01,877,186,3,433,30,0.0,1269.0,Card,355,234,2025,September,3,Monday
BILL000243,2025-09-30,730,189,4,211,0,151.92,995.92,UPI,144,268,2025,September,3,Tuesday
BILL000244,2025-09-25,445,144,5,278,50,0.0,1340.0,Cash,182,480,2025,September,3,Thursday
BILL000245,2025-03-29,78,145,5,477,30,119.25,2474.25,Cash,373,520,2025,March,1,Saturday
BILL000246,2025-04-06,436,33,3,395,10,0.0,1175.0,Card,322,219,2025,April,2,Sunday
BILL000247,2025-11-25,504,78,3,452,50,162.72,1468.72,Cash,335,351,2025,November,4,Tuesday
BILL000248,2025-02-04,276,186,2,433,0,0.0,866.0,UPI,355,156,2025,February,1,Tuesday
BILL000249,2025-06-14,660,59,1,404,30,20.2,394.2,Card,256,148,2025,June,2,Saturday
BILL000250,2025-10-21,177,184,2,332,10,33.2,687.2,Card,249,166,2025,October,4,Tuesday
BILL000251,2025-01-13,727,120,4,345,20,248.4,1608.4,Card,254,364,2025,January,1,Monday
BILL000252,2025-04-05,956,65,3,124,0,44.64,416.64,Cash,25,297,2025,April,2,Saturday
BILL000253,2025-11-12,465,113,3,185,30,27.75,552.75,UPI,100,255,2025,November,4,Wednesday
BILL000254,2025-01-05,753,220,3,164,20,24.6,496.6,Card,128,108,2025,January,1,Sunday
BILL000255,2025-02-06,955,13,2,275,20,0.0,530.0,Cash,191,168,2025,February,1,Thursday
BILL000256,2025-09-29,144,236,3,253,10,136.62,885.62,Card,136,351,2025,September,3,Monday
BILL000257,2025-08-09,275,138,1,451,20,22.55,453.55,UPI,382,69,2025,August,3,Saturday
BILL000258,2025-04-30,221,217,5,379,50,227.4,2072.4,UPI,297,410,2025,April,2,Wednesday
BILL000259,2025-05-19,640,227,5,193,50,48.25,963.25,Cash,180,65,2025,May,2,Monday
BILL000260,2025-12-18,341,71,3,404,50,0.0,1162.0,Card,297,321,2025,December,4,Thursday
BILL000261,2025-04-06,389,136,5,64,50,16.0,286.0,Card,51,65,2025,April,2,Sunday
BILL000262,2025-11-06,461,62,4,322,30,231.84,1489.84,Card,280,168,2025,November,4,Thursday
BILL000263,2025-07-26,75,114,5,486,30,291.6,2691.6,Cash,376,550,2025,July,3,Saturday
BILL000264,2025-01-01,249,53,2,499,20,49.9,1027.9,UPI,399,200,2025,January,1,Wednesday
BILL000265,2025-11-12,837,224,4,248,10,119.04,1101.04,UPI,154,376,2025,November,4,Wednesday
BILL000266,2025-09-09,915,156,5,314,10,188.4,1748.4,UPI,171,715,2025,September,3,Tuesday
BILL000267,2025-03-21,243,192,4,475,0,0.0,1900.0,Card,364,444,2025,March,1,Friday
BILL000268,2025-09-05,388,78,1,452,30,54.24,476.24,Cash,335,117,2025,September,3,Friday
BILL000269,2025-06-18,891,82,5,188,20,0.0,920.0,UPI,166,110,2025,June,2,Wednesday
BILL000270,2025-06-30,801,136,5,64,30,16.0,306.0,Card,51,65,2025,June,2,Monday
BILL000271,2025-04-08,152,39,2,349,50,34.9,682.9,Cash,339,20,2025,April,2,Tuesday
