bill_no,date,customer_id,product_id,quantity,selling_price,discount,gst,total_amount,payment_mode
BILL000133,2025-08-31,939,146,5,113,0,0.0,565.0,Cash
BILL000134,2025-11-06,542,110,3,161,10,24.15,497.15,UPI
BILL000135,2025-08-22,214,231,2,397,10,142.92,926.92,Cash
BILL000136,2025-07-02,420,97,5,473,10,425.7,2780.7,Card
BILL000137,2025-12-03,116,233,3,275,10,99.0,914.0,UPI
BILL000138,2025-08-31,844,95,2,272,50,27.2,521.2,Cash
BILL000139,2025-03-30,547,143,2,228,10,82.08,528.08,UPI
BILL000140,2025-07-01,112,51,2,181,30,65.16,397.16,Cash
BILL000141,2025-04-15,753,233,2,275,30,66.0,586.0,Card
BILL000142,2025-06-04,156,140,4,409,30,196.32,1802.32,Cash
BILL000143,2025-12-04,431,57,4,318,30,63.6,1305.6,UPI
BILL000144,2025-12-19,321,228,3,229,10,123.66,800.66,UPI
BILL000145,2025-10-24,406,65,3,124,30,44.64,386.64,Card
BILL000146,2025-11-04,363,219,4,450,30,90.0,1860.0,UPI
BILL000147,2025-06-09,857,69,3,277,30,41.55,842.55,Card
BILL000148,2025-10-05,455,152,1,259,50,0.0,209.0,UPI
BILL000149,2025-01-06,186,37,4,235,20,112.8,1032.8,Cash
BILL000150,2025-12-28,334,227,4,193,30,38.6,780.6,Cash
BILL000151,2025-01-09,111,199,5,460,10,414.0,2704.0,Card
BILL000152,2025-03-05,836,3,5,374,30,93.5,1933.5,Card
BILL000153,2025-12-25,968,156,3,314,0,113.04,1055.04,UPI
BILL000154,2025-08-07,515,238,4,283,0,135.84,1267.84,Card
BILL000155,2025-07-08,968,71,5,404,10,0.0,2010.0,Cash
BILL000156,2025-04-01,856,61,4,384,20,184.32,1700.32,Card
BILL000157,2025-09-30,81,210,4,319,10,229.68,1495.68,Card
BILL000158,2025-04-26,825,95,1,272,30,13.6,255.6,Card
BILL000159,2025-09-10,2,194,2,476,50,0.0,902.0,Card
BILL000160,2025-03-23,406,189,2,211,0,75.96,497.96,UPI
BILL000161,2025-07-06,558,14,2,326,10,78.24,720.24,UPI
BILL000162,2025-01-23,850,79,2,344,20,123.84,791.84,UPI
BILL000163,2025-12-12,978,98,2,413,0,41.3,867.3,UPI
BILL000164,2025-07-17,398,61,2,384,0,92.16,860.16,Card
BILL000165,2025-06-13,225,223,1,324,20,58.32,362.32,Cash
BILL000166,2025-06-07,341,118,3,405,20,0.0,1195.0,Card
BILL000167,2025-02-19,97,173,2,167,20,60.12,374.12,Card
BILL000168,2025-04-08,869,63,5,321,20,288.9,1873.9,Card
BILL000169,2025-06-27,181,160,1,283,20,50.94,313.94,Cash
BILL000170,2025-03-08,905,198,3,333,20,179.82,1158.82,Card
BILL000171,2025-09-10,647,123,2,220,20,0.0,420.0,Card
BILL000172,2025-03-29,237,111,4,132,0,95.04,623.04,Card
BILL000173,2025-09-30,191,51,2,181,0,65.16,427.16,UPI
BILL000174,2025-11-11,817,201,4,501,20,100.2,2084.2,Cash
BILL000175,2025-05-10,945,137,3,92,20,49.68,305.68,Card
BILL000176,2025-07-02,596,230,2,333,50,119.88,735.88,UPI
BILL000177,2025-01-21,987,26,4,445,0,0.0,1780.0,Card
BILL000178,2025-06-10,70,175,1,466,10,0.0,456.0,Card
BILL000179,2025-07-31,972,101,3,501,0,270.54,1773.54,UPI
BILL000180,2025-02-12,698,188,2,477,10,171.72,1115.72,UPI
BILL000181,2025-03-06,347,59,1,404,30,20.2,394.2,Card
BILL000182,2025-06-16,780,178,1,179,30,32.22,181.22,Cash
BILL000183,2025-05-08,477,75,4,390,0,0.0,1560.0,Cash
BILL000184,2025-10-31,678,218,3,400,30,216.0,1386.0,UPI
BILL000185,2025-02-02,524,47,2,172,10,17.2,351.2,Card
BILL000186,2025-08-06,119,216,3,340,50,122.4,1092.4,Cash
BILL000187,2025-09-20,772,218,3,400,10,216.0,1406.0,Card
BILL000188,2025-10-29,469,6,5,330,30,297.0,1917.0,Cash
BILL000189,2025-11-23,231,56,3,382,30,57.3,1173.3,Card
BILL000190,2025-05-22,888,98,1,413,0,20.65,433.65,Card
BILL000191,2025-05-22,305,185,3,436,10,0.0,1298.0,UPI
BILL000192,2025-10-09,688,191,3,358,0,0.0,1074.0,Card
BILL000193,2025-03-02,606,198,4,333,30,239.76,1541.76,Cash
BILL000194,2025-10-17,629,76,1,178,20,32.04,190.04,UPI
BILL000195,2025-11-30,63,239,2,254,20,0.0,488.0,UPI
BILL000196,2025-06-07,909,107,1,198,0,9.9,207.9,Card
BILL000197,2025-05-02,451,194,5,476,20,0.0,2360.0,Cash
BILL000198,2025-07-05,966,207,4,249,50,49.8,995.8,UPI
BILL000199,2025-07-27,360,15,2,372,0,89.28,833.28,Card
BILL000200,2025-11-01,432,153,1,315,30,37.8,322.8,Card
BILL000201,2025-01-22,78,148,3,377,50,0.0,1081.0,UPI
BILL000202,2025-04-01,455,92,4,337,10,0.0,1338.0,Cash
BILL000203,2025-09-23,402,134,1,242,20,29.04,251.04,Cash
BILL000204,2025-07-07,226,72,2,115,20,41.4,251.4,Cash
BILL000205,2025-04-16,824,218,1,400,50,72.0,422.0,Cash
BILL000206,2025-08-20,317,61,2,384,50,92.16,810.16,Card
BILL000207,2025-11-13,793,35,2,158,30,56.88,342.88,UPI
BILL000208,2025-08-10,398,138,4,451,50,90.2,1844.2,Cash
BILL000209,2025-10-24,410,29,2,81,50,19.44,131.44,Card
BILL000210,2025-10-03,876,90,1,423,30,76.14,469.14,Cash
BILL000211,2025-02-13,500,168,4,255,20,183.6,1183.6,Cash
BILL000212,2025-10-05,383,163,4,394,20,0.0,1556.0,Cash
BILL000213,2025-12-27,237,103,5,378,20,94.5,1964.5,Card
BILL000214,2025-10-19,597,131,5,153,10,0.0,755.0,Card
BILL000215,2025-12-22,617,77,4,200,20,40.0,820.0,Cash
BILL000216,2025-02-04,386,203,3,453,50,244.62,1553.62,Cash
BILL000217,2025-11-10,284,30,2,359,30,129.24,817.24,Card
BILL000218,2025-03-21,732,173,3,167,50,90.18,541.18,UPI
BILL000219,2025-10-17,310,101,2,501,30,180.36,1152.36,Cash
BILL000220,2025-12-13,70,202,1,202,20,36.36,218.36,UPI
BILL000221,2025-01-21,274,73,5,142,20,35.5,725.5,UPI
BILL000222,2025-08-09,913,75,3,390,30,0.0,1140.0,UPI
BILL000223,2025-08-16,945,85,5,174,20,156.6,1006.6,UPI
BILL000224,2025-03-15,442,9,4,383,10,76.6,1598.6,Card
BILL000225,2025-11-25,804,227,3,193,50,28.95,557.95,Cash
BILL000226,2025-09-21,603,157,5,517,0,0.0,2585.0,UPI
BILL000227,2025-11-30,903,31,1,178,20,8.9,166.9,Cash
BILL000228,2025-06-09,262,109,5,379,30,341.1,2206.1,Card
BILL000229,2025-02-03,205,117,4,179,10,35.8,741.8,Card
BILL000230,2025-07-26,654,180,4,189,10,0.0,746.0,UPI
BILL000231,2025-10-15,742,227,2,193,10,19.3,395.3,UPI
BILL000232,2025-01-10,168,38,4,479,30,95.8,1981.8,Cash
BILL000233,2025-01-31,362,44,5,174,0,104.4,974.4,Cash
BILL000234,2025-02-07,347,29,5,81,50,48.6,403.6,Cash
BILL000235,2025-07-16,32,137,2,92,20,33.12,197.12,Card
BILL000236,2025-07-17,524,213,3,109,30,0.0,297.0,Card
BILL000237,2025-07-15,965,73,5,142,0,35.5,745.5,Cash
BILL000238,2025-08-26,167,24,3,237,10,35.55,736.55,Card
BILL000239,2025-02-24,689,237,5,345,30,207.0,1902.0,Cash
BILL000240,2025-02-10,589,78,4,452,30,216.96,1994.96,UPI
BILL000241,2025-01-05,348,24,3,237,0,35.55,746.55,UPI
BILL000242,2025-09-01,877,186,3,433,30,0.0,1269.0,Card
BILL000243,2025-09-30,730,189,4,211,0,151.92,995.92,UPI
BILL000244,2025-09-25,445,144,5,278,50,0.0,1340.0,Cash
BILL000245,2025-03-29,78,145,5,477,30,119.25,2474.25,Cash
BILL000246,2025-04-06,436,33,3,395,10,0.0,1175.0,Card
BILL000247,2025-11-25,504,78,3,452,50,162.72,1468.72,Cash
BILL000248,2025-02-04,276,186,2,433,0,0.0,866.0,UPI
BILL000249,2025-06-14,660,59,1,404,30,20.2,394.2,Card
BILL000250,2025-10-21,177,184,2,332,10,33.2,687.2,Card
BILL000251,2025-01-13,727,120,4,345,20,248.4,1608.4,Card
BILL000252,2025-04-05,956,65,3,124,0,44.64,416.64,Cash
BILL000253,2025-11-12,465,113,3,185,30,27.75,552.75,UPI
BILL000254,2025-01-05,753,220,3,164,20,24.6,496.6,Card
BILL000255,2025-02-06,955,13,2,275,20,0.0,530.0,Cash
BILL000256,2025-09-29,144,236,3,253,10,136.62,885.62,Card
BILL000257,2025-08-09,275,138,1,451,20,22.55,453.55,UPI
BILL000258,2025-04-30,221,217,5,379,50,227.4,2072.4,UPI
BILL000259,2025-05-19,640,227,5,193,50,48.25,963.25,Cash
BILL000260,2025-12-18,341,71,3,404,50,0.0,1162.0,Card
BILL000261,2025-04-06,389,136,5,64,50,16.0,286.0,Card
BILL000262,2025-11-06,461,62,4,322,30,231.84,1489.84,Card
BILL000263,2025-07-26,75,114,5,486,30,291.6,2691.6,Cash
BILL000264,2025-01-01,249,53,2,499,20,49.9,1027.9,UPI
BILL000265,2025-11-12,837,224,4,248,10,119.04,1101.04,UPI
BILL000266,2025-09-09,915,156,5,314,10,188.4,1748.4,UPI
BILL000267,2025-03-21,243,192,4,475,0,0.0,1900.0,Card
BILL000268,2025-09-05,388,78,1,452,30,54.24,476.24,Cash
BILL000269,2025-06-18,891,82,5,188,20,0.0,920.0,UPI
BILL000270,2025-06-30,801,136,5,64,30,16.0,306.0,Card
BILL000271,2025-04-08,152,39,2,349,50,34.9,682.9,Cash
BILL000272,2025-06-30,631,145,5,477,10,119.25,2494.25,Card
BILL000273,2025-03-02,844,211,1,208,50,24.96,182.96,Card
BILL000274,2025-06-26,776,18,3,165,0,89.1,584.1,Card
BILL000275,2025-06-07,452,121,1,170,30,8.5,148.5,Card
BILL000276,2025-08-15,26,132,1,296,50,14.8,260.8,UPI
BILL000277,2025-10-27,326,230,4,333,50,239.76,1521.76,UPI
BILL000278,2025-07-20,892,159,3,77,20,41.58,252.58,UPI
BILL000279,2025-07-24,47,120,5,345,10,310.5,2025.5,Cash
BILL000280,2025-12-21,36,184,5,332,0,83.0,1743.0,Cash
BILL000281,2025-08-15,424,52,4,76,30,15.2,289.2,UPI
BILL000282,2025-09-05,137,91,3,304,20,45.6,937.6,UPI
BILL000283,2025-08-18,784,218,1,400,10,72.0,462.0,Cash
BILL000284,2025-08-08,328,197,3,410,10,147.6,1367.6,Card
BILL000285,2025-08-29,481,37,3,235,50,84.6,739.6,Cash
BILL000286,2025-08-15,439,164,1,144,50,7.2,101.2,UPI
BILL000287,2025-09-04,917,195,4,337,50,0.0,1298.0,UPI
BILL000288,2025-11-23,68,124,1,414,50,0.0,364.0,UPI
BILL000289,2025-04-23,162,1,3,125,50,0.0,325.0,UPI
BILL000290,2025-03-05,610,174,4,383,20,275.76,1787.76,UPI
BILL000291,2025-10-03,819,35,4,158,50,113.76,695.76,UPI
BILL000292,2025-06-14,545,134,1,242,0,29.04,271.04,Card
BILL000293,2025-02-19,967,135,2,216,0,77.76,509.76,Card
BILL000294,2025-12-10,745,159,1,77,10,13.86,80.86,Cash
BILL000295,2025-06-16,497,128,3,347,30,187.38,1198.38,UPI
BILL000296,2025-12-31,751,236,5,253,0,227.7,1492.7,UPI
BILL000297,2025-03-10,546,108,1,423,10,21.15,434.15,UPI
BILL000298,2025-01-13,75,121,1,170,20,8.5,158.5,Cash
BILL000299,2025-05-20,954,15,2,372,50,89.28,783.28,Card
BILL000300,2025-02-25,273,174,4,383,30,275.76,1777.76,Card
BILL000301,2025-03-26,761,215,1,406,0,73.08,479.08,Cash
BILL000302,2025-04-06,123,46,3,79,50,42.66,229.66,UPI
BILL000303,2025-07-20,730,198,5,333,10,299.7,1954.7,Cash
BILL000304,2025-01-14,971,86,5,271,20,162.6,1497.6,UPI
BILL000305,2025-08-03,662,135,2,216,50,77.76,459.76,Cash
BILL000306,2025-01-27,520,125,4,448,0,215.04,2007.04,Cash
BILL000307,2025-12-31,530,30,2,359,50,129.24,797.24,UPI
BILL000308,2025-03-25,830,238,2,283,50,67.92,583.92,Card
BILL000309,2025-07-22,802,227,2,193,30,19.3,375.3,Cash
BILL000310,2025-03-15,661,77,3,200,20,30.0,610.0,Card
BILL000311,2025-08-25,923,191,4,358,10,0.0,1422.0,UPI
BILL000312,2025-03-01,143,122,2,257,50,25.7,489.7,UPI
BILL000313,2025-11-01,440,219,2,450,50,45.0,895.0,Card
BILL000314,2025-02-27,419,225,2,285,10,102.6,662.6,Cash
BILL000315,2025-07-29,872,145,4,477,30,95.4,1973.4,Cash
BILL000316,2025-05-09,809,183,3,513,0,184.68,1723.68,Card
BILL000317,2025-04-06,854,75,4,390,50,0.0,1510.0,Card
BILL000318,2025-01-28,191,42,3,171,50,0.0,463.0,Card
BILL000319,2025-04-13,322,118,3,405,20,0.0,1195.0,UPI
BILL000320,2025-07-30,402,71,1,404,10,0.0,394.0,UPI
BILL000321,2025-02-11,999,119,4,388,20,186.24,1718.24,Cash
BILL000322,2025-09-14,811,156,5,314,30,188.4,1728.4,Cash
BILL000323,2025-06-16,610,10,4,369,10,177.12,1643.12,Card
BILL000324,2025-04-16,865,161,4,156,20,0.0,604.0,Cash
BILL000325,2025-07-30,891,24,4,237,0,47.4,995.4,Card
BILL000326,2025-12-07,919,197,1,410,30,49.2,429.2,Cash
BILL000327,2025-12-13,225,38,5,479,20,119.75,2494.75,Card
BILL000328,2025-06-08,208,23,5,206,20,123.6,1133.6,Card
BILL000329,2025-10-22,281,58,4,371,20,0.0,1464.0,Card
BILL000330,2025-01-07,911,157,5,517,50,0.0,2535.0,Card
BILL000331,2025-05-05,417,154,4,366,20,73.2,1517.2,Cash
BILL000332,2025-10-06,117,205,2,126,20,12.6,244.6,Card
BILL000333,2025-12-13,3,197,2,410,20,98.4,898.4,Cash
BILL000334,2025-12-11,713,145,5,477,50,119.25,2454.25,Cash
BILL000335,2025-04-19,153,30,4,359,20,258.48,1674.48,Card
BILL000336,2025-01-18,289,159,3,77,10,41.58,262.58,UPI
BILL000337,2025-08-28,302,168,4,255,0,183.6,1203.6,Card
BILL000338,2025-05-09,950,36,5,318,0,0.0,1590.0,UPI
BILL000339,2025-12-04,404,6,3,330,30,178.2,1138.2,Card
BILL000340,2025-05-02,780,12,2,453,10,108.72,1004.72,UPI
BILL000341,2025-07-19,97,120,1,345,20,62.1,387.1,Card
BILL000342,2025-03-28,123,205,5,126,10,31.5,651.5,UPI
BILL000343,2025-06-24,59,63,3,321,20,173.34,1116.34,UPI
BILL000344,2025-12-20,851,198,2,333,50,119.88,735.88,UPI
BILL000345,2025-01-11,269,167,4,420,50,0.0,1630.0,Card
BILL000346,2025-10-19,337,92,1,337,20,0.0,317.0,UPI
BILL000347,2025-07-19,404,11,4,294,30,141.12,1287.12,UPI
BILL000348,2025-04-12,948,5,2,221,0,53.04,495.04,UPI
BILL000349,2025-08-15,827,124,4,414,10,0.0,1646.0,Card
BILL000350,2025-07-07,206,67,5,350,50,0.0,1700.0,Cash
BILL000351,2025-09-06,415,166,4,408,10,0.0,1622.0,Card
BILL000352,2025-12-18,267,6,1,330,30,59.4,359.4,UPI
BILL000353,2025-06-07,729,93,3,353,50,52.95,1061.95,Card
BILL000354,2025-10-18,144,168,3,255,0,137.7,902.7,Card
BILL000355,2025-06-26,507,147,4,293,50,58.6,1180.6,Card
BILL000356,2025-02-27,655,25,5,222,50,55.5,1115.5,UPI
BILL000357,2025-12-08,103,140,1,409,20,49.08,438.08,Cash
BILL000358,2025-02-16,878,51,3,181,0,97.74,640.74,Card
BILL000359,2025-12-07,666,157,5,517,0,0.0,2585.0,Card
BILL000360,2025-07-27,23,170,3,184,20,27.6,559.6,UPI
BILL000361,2025-08-11,625,210,4,319,30,229.68,1475.68,Card
BILL000362,2025-08-11,547,94,5,188,10,169.2,1099.2,UPI
BILL000363,2025-08-20,185,225,1,285,50,51.3,286.3,Cash
BILL000364,2025-10-04,477,84,2,365,10,87.6,807.6,UPI
BILL000365,2025-02-14,680,177,2,410,10,0.0,810.0,UPI
BILL000366,2025-01-12,647,203,5,453,50,407.7,2622.7,UPI
BILL000367,2025-01-17,243,182,4,138,20,27.6,559.6,Cash
BILL000368,2025-07-15,974,149,3,383,0,0.0,1149.0,Card
BILL000369,2025-09-17,91,221,5,167,30,150.3,955.3,UPI
BILL000370,2025-12-30,274,153,4,315,30,151.2,1381.2,Card
BILL000371,2025-05-30,737,86,3,271,0,97.56,910.56,UPI
BILL000372,2025-02-20,382,118,1,405,10,0.0,395.0,Card
BILL000373,2025-05-23,328,100,5,345,10,0.0,1715.0,UPI
BILL000374,2025-10-28,163,9,4,383,0,76.6,1608.6,Cash
BILL000375,2025-03-28,603,215,4,406,0,292.32,1916.32,Card
BILL000376,2025-10-20,523,206,5,440,10,0.0,2190.0,Card
BILL000377,2025-10-27,718,138,5,451,0,112.75,2367.75,Card
BILL000378,2025-08-11,684,163,2,394,50,0.0,738.0,Cash
BILL000379,2025-01-09,859,116,3,225,10,81.0,746.0,Card
BILL000380,2025-05-09,980,149,4,383,20,0.0,1512.0,UPI
BILL000381,2025-11-10,122,134,4,242,10,116.16,1074.16,Card
BILL000382,2025-04-05,872,40,3,212,20,114.48,730.48,Cash
BILL000383,2025-02-25,616,72,5,115,20,103.5,658.5,Card
BILL000384,2025-12-06,717,195,1,337,50,0.0,287.0,Card
BILL000385,2025-02-27,661,216,5,340,20,204.0,1884.0,UPI
BILL000386,2025-05-09,844,63,2,321,30,115.56,727.56,Card
BILL000387,2025-07-01,433,205,2,126,10,12.6,254.6,Cash
BILL000388,2025-07-20,415,225,2,285,10,102.6,662.6,Card
BILL000389,2025-02-28,389,204,3,73,0,0.0,219.0,UPI
BILL000390,2025-02-26,609,19,2,380,10,0.0,750.0,UPI
BILL000391,2025-11-14,909,40,5,212,20,190.8,1230.8,UPI
BILL000392,2025-02-06,801,100,1,345,20,0.0,325.0,UPI
BILL000393,2025-12-01,601,94,3,188,50,101.52,615.52,Cash
BILL000394,2025-07-11,707,121,5,170,20,42.5,872.5,Cash
BILL000395,2025-07-11,697,184,4,332,50,66.4,1344.4,Cash
BILL000396,2025-07-22,36,96,1,95,20,0.0,75.0,UPI
